Number of Nodes,Nodes to Block,Trained IR,Max Trained IR,Min Trained IR,Random IR,Max Random IR,Min Random IR,Greedy IR,Max Greedy IR,Min Greedy IR
10,1,0.25000000000000006,0.6,0.1,0.6900000000000001,0.9,0.1,0.35000000000000003,0.6,0.1
10,3,0.21000000000000002,0.6,0.1,0.37,0.9,0.1,0.19000000000000003,0.6,0.1
10,5,0.15999999999999998,0.6,0.1,0.17,0.9,0.1,0.18000000000000002,0.6,0.1
15,1,0.10666666666666666,0.2,0.06666666666666667,0.6933333333333334,0.9333333333333333,0.06666666666666667,0.3733333333333334,0.6,0.06666666666666667
15,3,0.15333333333333332,0.3333333333333333,0.06666666666666667,0.4066666666666666,0.9333333333333333,0.06666666666666667,0.15333333333333332,0.6,0.06666666666666667
15,5,0.10666666666666666,0.3333333333333333,0.06666666666666667,0.3533333333333334,0.9333333333333333,0.06666666666666667,0.12,0.6,0.06666666666666667
20,1,0.32000000000000006,0.8,0.05,0.8150000000000001,0.95,0.05,0.36000000000000004,0.8,0.1
20,3,0.16,0.8,0.05,0.44499999999999995,0.95,0.05,0.16,0.8,0.05
20,5,0.07500000000000001,0.8,0.05,0.36000000000000004,0.95,0.05,0.07500000000000001,0.8,0.05
25,1,0.11200000000000002,0.16,0.04,0.636,0.96,0.04,0.32,0.48,0.16
25,3,0.172,0.4,0.04,0.572,0.96,0.04,0.18799999999999997,0.48,0.04
25,5,0.044,0.4,0.04,0.4360000000000001,0.96,0.04,0.09200000000000001,0.48,0.04
30,1,0.19666666666666668,0.5666666666666667,0.03333333333333333,0.9033333333333335,0.9666666666666667,0.6,0.5233333333333332,0.5666666666666667,0.13333333333333333
30,3,0.12,0.5666666666666667,0.03333333333333333,0.4833333333333334,0.9666666666666667,0.13333333333333333,0.12,0.5666666666666667,0.03333333333333333
30,5,0.06666666666666667,0.5666666666666667,0.03333333333333333,0.53,0.9666666666666667,0.03333333333333333,0.08666666666666666,0.5666666666666667,0.03333333333333333
35,1,0.16571428571428573,0.6285714285714286,0.11428571428571428,0.86,0.9714285714285714,0.02857142857142857,0.4742857142857142,0.6285714285714286,0.11428571428571428
35,3,0.1142857142857143,0.6285714285714286,0.11428571428571428,0.7257142857142856,0.9714285714285714,0.02857142857142857,0.1142857142857143,0.6285714285714286,0.11428571428571428
35,5,0.04000000000000001,0.6285714285714286,0.02857142857142857,0.44571428571428573,0.9714285714285714,0.02857142857142857,0.11714285714285715,0.6285714285714286,0.02857142857142857
40,1,0.09999999999999999,0.1,0.1,0.8799999999999999,0.975,0.1,0.5599999999999998,0.675,0.1
40,3,0.11500000000000002,0.25,0.1,0.5725,0.975,0.025,0.11500000000000002,0.675,0.1
40,5,0.0375,0.25,0.025,0.71,0.975,0.025,0.14250000000000004,0.675,0.025
45,1,0.13999999999999999,0.6,0.08888888888888889,0.8466666666666667,0.9777777777777777,0.022222222222222223,0.44666666666666666,0.6,0.08888888888888889
45,3,0.11333333333333336,0.6,0.08888888888888889,0.6844444444444444,0.9777777777777777,0.022222222222222223,0.11333333333333336,0.6,0.08888888888888889
45,5,0.05555555555555556,0.6,0.022222222222222223,0.5377777777777778,0.9777777777777777,0.022222222222222223,0.09555555555555557,0.6,0.022222222222222223
50,1,0.138,0.26,0.08,0.8540000000000001,0.98,0.04,0.32199999999999995,0.54,0.08
50,3,0.15000000000000002,0.26,0.08,0.8780000000000001,0.98,0.04,0.15000000000000002,0.54,0.08
50,5,0.09200000000000001,0.26,0.02,0.5599999999999999,0.98,0.02,0.11800000000000002,0.54,0.08
